Subject,ACC,RT,Difficulty,Condition
346,1,4769,Complex,Addition
346,1,2979,Complex,Addition
346,1,4963,Complex,Addition
346,1,3407,Complex,Addition
346,1,3862,Complex,Addition
346,1,4840,Complex,Addition
346,1,2619,Simple,Addition
346,1,3065,Simple,Addition
346,1,1952,Simple,Addition
346,0,2678,Simple,Addition
346,1,3190,Simple,Addition
346,1,3400,Simple,Addition
346,1,2208,Simple,Addition
346,1,3755,Simple,Addition
346,0,0,Simple,Addition
346,0,2766,Simple,Addition
346,1,4252,Complex,Addition
346,0,4113,Complex,Addition
346,0,0,Complex,Addition
346,1,3835,Complex,Addition
346,1,4517,Complex,Addition
350,1,3371,Simple,Addition
350,1,2231,Simple,Addition
350,1,2346,Simple,Addition
350,1,2366,Simple,Addition
350,1,2227,Simple,Addition
350,0,0,Complex,Addition
350,1,4810,Complex,Addition
350,1,2688,Complex,Addition
350,1,2737,Complex,Addition
350,1,2914,Complex,Addition
350,1,4920,Complex,Addition
350,1,2240,Complex,Addition
350,1,3000,Complex,Addition
350,1,3897,Complex,Addition
350,1,2153,Simple,Addition
350,1,3001,Simple,Addition
350,0,2324,Simple,Addition
350,1,4179,Simple,Addition
350,1,4783,Complex,Addition
350,0,0,Complex,Addition
350,0,0,Complex,Addition
350,1,2902,Complex,Addition
350,1,2388,Simple,Addition
350,1,2735,Simple,Addition
350,1,4292,Simple,Addition
350,1,2419,Simple,Addition
350,1,3440,Simple,Addition
350,1,3799,Simple,Addition
350,1,2260,Simple,Addition
350,1,2051,Simple,Addition
350,1,3860,Simple,Addition
350,1,3426,Complex,Addition
350,1,2951,Complex,Addition
350,1,3523,Complex,Addition
350,1,2100,Complex,Addition
350,1,3771,Complex,Addition
358,1,2039,Complex,Addition
358,1,1414,Complex,Addition
358,1,3682,Complex,Addition
358,1,1684,Complex,Addition
358,1,1915,Complex,Addition
358,1,3047,Simple,Addition
358,1,1674,Simple,Addition
358,1,1203,Simple,Addition
358,1,1761,Simple,Addition
358,0,0,Simple,Addition
358,0,1923,Simple,Addition
358,0,0,Simple,Addition
358,0,0,Simple,Addition
358,1,1336,Simple,Addition
358,0,0,Complex,Addition
358,1,3237,Complex,Addition
358,1,3186,Complex,Addition
358,0,4929,Complex,Addition
358,1,1695,Simple,Addition
358,0,0,Simple,Addition
358,1,1832,Simple,Addition
358,1,1562,Simple,Addition
358,1,1038,Simple,Addition
358,1,1403,Complex,Addition
358,1,1917,Complex,Addition
358,1,1618,Complex,Addition
358,1,2493,Complex,Addition
358,0,4508,Complex,Addition
358,0,0,Complex,Addition
358,1,1613,Complex,Addition
358,1,3261,Complex,Addition
358,1,4905,Complex,Addition
358,1,2682,Simple,Addition
358,1,2857,Simple,Addition
358,0,4816,Simple,Addition
358,0,1589,Simple,Addition
39,1,1524,Simple,Addition
39,1,1161,Simple,Addition
39,1,1927,Simple,Addition
39,1,1496,Simple,Addition
39,1,3278,Complex,Addition
39,1,3266,Complex,Addition
39,1,1862,Complex,Addition
39,1,1528,Complex,Addition
39,1,3986,Complex,Addition
39,1,2978,Complex,Addition
39,1,1556,Complex,Addition
39,1,3181,Complex,Addition
39,1,3451,Simple,Addition
39,1,2236,Simple,Addition
39,1,1508,Simple,Addition
39,0,0,Simple,Addition
39,1,1957,Simple,Addition
39,1,1930,Simple,Addition
39,1,1840,Simple,Addition
39,1,1591,Simple,Addition
39,1,1754,Simple,Addition
39,1,1963,Complex,Addition
39,1,1549,Complex,Addition
39,1,1823,Complex,Addition
39,1,4822,Complex,Addition
39,1,2078,Complex,Addition
39,1,3826,Complex,Addition
39,0,0,Complex,Addition
39,1,2453,Complex,Addition
39,1,2351,Complex,Addition
39,1,1309,Complex,Addition
39,1,3710,Simple,Addition
39,1,4600,Simple,Addition
